"Record Date","Country - Currency Description","Exchange Rate","Effective Date"
"2024-09-30","Dominican Republic-Peso","60.02","2024-09-30"
"2024-09-30","Ecuador-Dolares","1.0","2024-09-30"
"2024-09-30","Egypt-Pound","48.23","2024-09-30"
"2024-09-30","El Salvador-Dollar","1.0","2024-09-30"
"2024-09-30","Equatorial Guinea-CFA Franc","585.68","2024-09-30"
"2024-09-30","Eritrea-Nakfa","15.0","2024-09-30"
"2024-09-30","Eswatini-Lilangeni","17.16","2024-09-30"
"2024-09-30","Ethiopia-Birr","120.0","2024-09-30"
"2024-09-30","Euro Zone-Euro","0.893","2024-09-30"
"2024-09-30","Fiji-Dollar","2.149","2024-09-30"
"2024-09-30","Gabon-CFA Franc","585.68","2024-09-30"
"2024-09-30","Gambia-Dalasi","68.0","2024-09-30"
"2024-09-30","Georgia-Lari","2.705","2024-09-30"
"2024-09-30","Ghana-Cedi","15.75","2024-09-30"
"2024-09-30","Grenada-E.Caribbean Dollar","2.7","2024-09-30"
"2024-09-30","Guatemala-Quentzal","7.727","2024-09-30"
"2024-09-30","Guinea-Franc","8586.0","2024-09-30"
"2024-09-30","Guinea Bissau-CFA Franc","585.75","2024-09-30"
"2024-09-30","Guyana-Dollar","215.0","2024-09-30"
"2024-09-30","Haiti-Gourde","131.434","2024-09-30"
"2024-09-30","Honduras-Lempira","24.808","2024-09-30"
"2024-09-30","Hong Kong-Dollar","7.767","2024-09-30"
"2024-09-30","Hungary-Forint","354.55","2024-09-30"
"2024-09-30","Iceland-Krona","134.42","2024-09-30"
"2024-09-30","India-Rupee","83.767","2024-09-30"
"2024-09-30","Indonesia-Rupiah","15125.0","2024-09-30"
"2024-09-30","Iran-Rial","42000.0","2024-09-30"
"2024-09-30","Iraq-Dinar","1309.0","2024-09-30"
"2024-09-30","Israel-Shekel","3.707","2024-09-30"
"2024-09-30","Jamaica-Dollar","157.0","2024-09-30"
"2024-09-30","Japan-Yen","142.47","2024-09-30"
"2024-09-30","Jordan-Dinar","0.708","2024-09-30"
"2024-09-30","Kazakhstan-Tenge","480.6","2024-09-30"
"2024-09-30","Kenya-Shilling","128.5","2024-09-30"
"2024-09-30","Korea-Won","1310.7","2024-09-30"
"2024-09-30","Kuwait-Dinar","0.305","2024-09-30"
"2024-09-30","Kyrgyzstan-Som","84.2","2024-09-30"
"2024-09-30","Laos-Kip","22031.0","2024-09-30"
"2024-09-30","Lebanon-Pound","89500.0","2024-09-30"
"2024-09-30","Lesotho-Maloti","17.16","2024-09-30"
"2024-09-30","Liberia-Dollar","193.0","2024-09-30"
"2024-09-30","Libya-Dinar","4.732","2024-09-30"
"2024-09-30","Madagascar-Ariary","4530.0","2024-09-30"
"2024-09-30","Malawi-Kwacha","1751.0","2024-09-30"
"2024-09-30","Malaysia-Ringgit","4.121","2024-09-30"
"2024-09-30","Maldives-Rufiyaa","15.42","2024-09-30"
"2024-09-30","Mali-CFA Franc","585.75","2024-09-30"
"2024-09-30","Marshall Islands-U.S. Dollar","1.0","2024-09-30"
"2024-09-30","Mauritania-Ouguiya","39.49","2024-09-30"
"2024-09-30","Mauritius-Rupee","45.75","2024-09-30"
"2024-09-30","Mexico-Peso","19.655","2024-09-30"
"2024-09-30","Micronesia-U.S. Dollar","1.0","2024-09-30"
"2024-09-30","Moldova-LEU","17.3","2024-09-30"
"2024-09-30","Mongolia-Tugrik","3381.0","2024-09-30"
"2024-09-30","Morocco-Dirham","9.697","2024-09-30"
"2024-09-30","Mozambique-Metical","63.25","2024-09-30"
"2024-09-30","Myanmar-Kyat","3511.0","2024-09-30"
"2024-09-30","Nambia-Dollar","17.16","2024-09-30"
"2024-09-30","Nepal-Rupee","134.07","2024-09-30"
"2024-09-30","Netherlands Antilles-Guilder","1.78","2024-09-30"
"2024-09-30","New Zealand-Dollar","1.574","2024-09-30"
"2024-09-30","Nicaragua-Cordoba","36.6","2024-09-30"
"2024-09-30","Niger-CFA Franc","585.75","2024-09-30"
"2024-09-30","Nigeria-Naira","1630.0","2024-09-30"
"2024-09-30","Norway-Krone","10.522","2024-09-30"
"2024-09-30","Oman-Rial","0.384","2024-09-30"
"2024-09-30","Pakistan-Rupee","277.7","2024-09-30"
"2024-09-30","Palau-Dollar","1.0","2024-09-30"
"2024-09-30","Panama-Dolares","1.0","2024-09-30"
"2024-09-30","Papua New Guinea-Kina","3.919","2024-09-30"
"2024-09-30","Paraguay-Guarani","7802.78","2024-09-30"
"2024-09-30","Peru-Sol","3.698","2024-09-30"
"2024-09-30","Philippines-Peso","56.015","2024-09-30"
"2024-09-30","Poland-Zloty","3.821","2024-09-30"
"2024-09-30","Qatar-Riyal","3.644","2024-09-30"
"2024-09-30","Rep. of N. Macedonia-Denar","54.75","2024-09-30"
"2024-09-30","Romania-New Leu","4.441","2024-09-30"
"2024-09-30","Russia-Ruble","92.9","2024-09-30"
"2024-09-30","Rwanda-Franc","1340.0","2024-09-30"
"2024-09-30","Sao Tome & Principe-New Dobras","21.887","2024-09-30"
"2024-09-30","Saudi Arabia-Riyal","3.75","2024-09-30"
"2024-09-30","Senegal-CFA Franc","585.75","2024-09-30"
"2024-09-30","Serbia-Dinar","104.45","2024-09-30"
"2024-09-30","Seychelles-Rupee","13.62","2024-09-30"
"2024-09-30","Sierra Leone-Leone","23.5","2024-09-30"
"2024-09-30","Sierra Leone-Old Leone","21.4","2024-09-30"
"2024-09-30","Singapore-Dollar","1.281","2024-09-30"
"2024-09-30","Solomon Islands-Dollar","8.065","2024-09-30"
"2024-09-30","Somali-Shilling","568.0","2024-09-30"
"2024-09-30","South Africa-Rand","17.16","2024-09-30"
"2024-09-30","South Sudan-Sudanese Pound","3100.0","2024-09-30"
"2024-09-30","Sri Lanka-Rupee","296.0","2024-09-30"
"2024-09-30","St. Lucia-E. Caribbean Dollar","2.7","2024-09-30"
"2024-09-30","Sudan-Pound","1980.0","2024-09-30"
"2024-09-30","Suriname-Dollar","34.03","2024-10-31"
"2024-09-30","Suriname-Dollar","30.515","2024-09-30"
"2024-09-30","Sweden-Krona","10.093","2024-09-30"
"2024-09-30","Switzerland-Franc","0.843","2024-09-30"
"2024-09-30","Syria-Pound","12625.0","2024-09-30"
"2024-09-30","Taiwan-Dollar","31.666","2024-09-30"
"2024-09-30","Tajikistan-Somoni","10.57","2024-09-30"
"2024-09-30","Tanzania-Shilling","2725.0","2024-09-30"
"2024-09-30","Thailand-Baht","32.21","2024-09-30"
"2024-09-30","Timor-Leste-Dili","1.0","2024-09-30"
"2024-09-30","Togo-CFA Franc","585.75","2024-09-30"
"2024-09-30","Tonga-Pa'anga","2.237","2024-09-30"
"2024-09-30","Trinidad & Tobago-Dollar","6.769","2024-09-30"
"2024-09-30","Tunisia-Dinar","3.015","2024-09-30"
"2024-09-30","Turkey-New Lira","34.178","2024-09-30"
"2024-09-30","Turkmenistan-New Manat","3.491","2024-09-30"
"2024-09-30","Uganda-Shilling","3685.0","2024-09-30"
"2024-09-30","Ukraine-Hryvnia","41.19","2024-09-30"
"2024-09-30","United Arab Emirates-Dirham","3.673","2024-09-30"
"2024-09-30","United Kingdom-Pound","0.745","2024-09-30"
"2024-09-30","Uruguay-Peso","41.69","2024-09-30"
"2024-09-30","Uzbekistan-Som","12651.84","2024-09-30"
"2024-09-30","Vanuatu-Vatu","116.0","2024-09-30"
"2024-09-30","Venezuela-Bolivar Soberano","42.456","2024-10-31"
"2024-09-30","Venezuela-Bolivar Soberano","36.816","2024-09-30"
"2024-09-30","Venezuela-Fuerte (OLD)","248832.0","2024-09-30"
"2024-09-30","Vietnam-Dong","24555.0","2024-09-30"
"2024-09-30","Western Samoa-Tala","2.653","2024-09-30"
"2024-09-30","Yemen-Rial","528.0","2024-09-30"
"2024-09-30","Zambia-New Kwacha","26.45","2024-09-30"
"2024-09-30","Zimbabwe-Gold","27.246","2024-10-31"
"2024-09-30","Zimbabwe-Gold","23.639","2024-09-30"
